competition_id,match_id,date,s1_start,s1_end,s1_dur,s2_start,s2_end,s2_dur,weather,weather_id,pitch,pitch_id,home_team,home_team_id,home_score,away_team,away_team_id,away_score
1,87,20200808,19:00,19:46,46,20:01,20:49,48,비,3,포항 스틸야드,14,포항,K03,1,광주,K22,1
1,88,20200808,20:00,20:46,46,21:00,21:48,48,흐림,2,DGB대구은행파크,114,대구,K17,0,전북,K05,2
1,89,20200809,19:00,19:46,46,20:01,20:49,48,맑음,1,상주 시민,80,상주,K23,2,부산,K06,0
1,90,20200809,19:00,19:46,46,20:01,20:53,52,비,3,인천 전용,95,인천,K18,0,성남,K08,2
1,91,20200814,19:30,20:17,47,20:32,21:27,55,흐림,2,탄천 종합,84,성남,K08,1,부산,K06,1
1,92,20200815,19:00,19:46,46,20:02,20:50,48,맑음,1,울산 문수,68,울산,K01,2,포항,K03,0
1,93,20200815,19:01,19:48,47,20:04,20:53,49,흐림,2,서울 월드컵,82,서울,K09,2,상주,K23,1
1,94,20200815,19:00,19:48,48,20:04,20:54,50,흐림,2,수원 월드컵,69,수원,K02,1,전북,K05,3
1,95,20200816,19:00,19:54,54,20:09,21:01,52,맑음,1,DGB대구은행파크,114,대구,K17,0,인천,K18,1
1,96,20200816,19:00,19:47,47,20:02,20:50,48,맑음,1,광주 전용,117,광주,K22,2,강원,K21,2
1,97,20200822,17:30,18:17,47,18:32,19:20,48,비,3,인천 전용,95,인천,K18,1,수원,K02,0
1,98,20200822,19:00,19:46,46,20:02,20:50,48,흐림,2,광주 전용,117,광주,K22,0,서울,K09,0
1,99,20200822,19:00,19:47,47,20:02,20:50,48,흐림,2,부산 구덕,9,부산,K06,2,포항,K03,1
1,100,20200822,20:00,20:46,46,21:02,21:50,48,흐리고 비,4,강릉 종합,25,강원,K21,0,대구,K17,0
1,101,20200823,18:00,18:46,46,19:01,19:54,53,맑음,1,전주 월드컵,71,전북,K05,2,상주,K23,1
1,102,20200823,20:00,20:46,46,21:01,21:50,49,맑음,1,탄천 종합,84,성남,K08,1,울산,K01,2
1,103,20200829,18:01,18:47,46,19:02,19:51,49,흐림,2,상주 시민,80,상주,K23,3,인천,K18,1
1,104,20200829,20:00,20:47,47,21:02,21:50,48,흐리고 비,4,수원 월드컵,69,수원,K02,3,부산,K06,1
1,105,20200830,17:30,18:17,47,18:32,19:22,50,맑음,1,울산 문수,68,울산,K01,3,서울,K09,0
1,106,20200830,19:00,19:46,46,20:00,20:50,50,맑음,1,전주 월드컵,71,전북,K05,1,강원,K21,2
1,107,20200830,19:00,19:47,47,20:02,20:51,49,흐림,2,포항 스틸야드,14,포항,K03,2,성남,K08,1
1,108,20200830,20:00,20:48,48,21:04,21:55,51,흐림,2,DGB대구은행파크,114,대구,K17,4,광주,K22,6
1,109,20200904,19:00,19:45,45,20:01,20:51,50,맑음,1,상주 시민,80,상주,K23,1,수원,K02,0
1,110,20200905,17:30,18:16,46,18:31,19:19,48,흐림,2,탄천 종합,84,성남,K08,2,전북,K05,0
1,111,20200905,19:00,19:46,46,20:01,20:52,51,흐림,2,서울 월드컵,82,서울,K09,1,부산,K06,1
1,112,20200905,20:00,20:46,46,21:01,21:50,49,비,3,포항 스틸야드,14,포항,K03,3,대구,K17,2
1,113,20200906,17:30,18:15,45,18:31,19:22,51,비,3,강릉 종합,25,강원,K21,2,인천,K18,3
1,114,20200906,19:00,19:46,46,20:01,20:50,49,비,3,울산 문수,68,울산,K01,1,광주,K22,1
1,115,20200912,19:00,19:46,46,20:01,20:49,48,흐림,2,상주 시민,80,상주,K23,0,성남,K08,0
1,116,20200912,19:00,19:46,46,20:02,20:51,49,흐림,2,울산 문수,68,울산,K01,1,대구,K17,1
1,117,20200912,16:00,16:47,47,17:02,17:51,49,흐림,2,광주 전용,117,광주,K22,3,전북,K05,3
1,118,20200913,17:30,18:16,46,18:32,19:21,49,맑음,1,서울 월드컵,82,서울,K09,2,수원,K02,1
1,119,20200913,19:00,19:46,46,20:01,20:49,48,흐림,2,강릉 종합,25,강원,K21,0,포항,K03,3
1,120,20200913,19:00,19:46,46,20:01,20:49,48,흐림,2,부산 구덕,9,부산,K06,0,인천,K18,0
1,121,20200915,19:00,19:46,46,20:01,20:52,51,흐리고 비,4,전주 월드컵,71,전북,K05,2,울산,K01,1
1,122,20200915,20:00,20:47,47,21:02,21:54,52,흐림,2,광주 전용,117,광주,K22,0,상주,K23,1
1,123,20200916,18:00,18:46,46,19:02,19:50,48,흐림,2,부산 구덕,9,부산,K06,1,강원,K21,2
1,124,20200916,19:01,19:48,47,20:04,20:54,50,흐림,2,수원 월드컵,69,수원,K02,0,포항,K03,0
1,125,20200916,19:00,19:46,46,20:03,20:53,50,흐림,2,인천 전용,95,인천,K18,1,서울,K09,0
1,126,20200916,20:00,20:48,48,21:03,21:54,51,흐림,2,DGB대구은행파크,114,대구,K17,3,성남,K08,2
1,127,20200920,15:00,15:47,47,16:02,16:50,48,맑음,1,전주 월드컵,71,전북,K05,2,부산,K06,0
1,128,20200920,15:00,15:46,46,16:02,16:50,48,맑음,1,서울 월드컵,82,서울,K09,0,대구,K17,0
1,129,20200920,15:00,15:49,49,16:03,16:55,52,맑음,1,포항 스틸야드,14,포항,K03,4,상주,K23,3
1,130,20200920,15:00,15:46,46,16:02,16:50,48,맑음,1,강릉 종합,25,강원,K21,1,수원,K02,2
1,131,20200920,15:00,15:46,46,16:01,16:51,50,맑음,1,탄천 종합,84,성남,K08,0,광주,K22,2
1,132,20200920,15:00,15:46,46,16:01,16:49,48,맑음,1,인천 전용,95,인천,K18,0,울산,K01,1
1,133,20200926,14:00,14:46,46,15:02,15:53,51,맑음,1,수원 월드컵,69,수원,K02,3,서울,K09,1
1,134,20200927,14:00,14:48,48,15:04,15:52,48,맑음,1,탄천 종합,84,성남,K08,0,인천,K18,6
1,135,20200927,14:00,14:46,46,15:01,15:49,48,흐림,2,부산 구덕,9,부산,K06,0,강원,K21,2
1,136,20200927,16:30,17:17,47,17:31,18:20,49,맑음,1,상주 시민,80,상주,K23,0,전북,K05,1
1,137,20200927,16:30,17:18,48,17:34,18:23,49,맑음,1,DGB대구은행파크,114,대구,K17,2,울산,K01,2
